RAmdeg,DEmdeg,BTmag,VTmag,HIP
87.29349494,39.18107161,5.72,4.623,27483
87.21591363,39.53360536,7.807,6.906,27458
86.45627361,40.50723442,6.875,6.592,27192
88.98584,41.32331896,6.995,6.674,28054
85.80749141,41.69630257,7.687,6.891,26957
84.78623174,41.35856469,7.728,6.555,26592
84.68279434,41.83922029,8.491,6.751,26546
86.81119224,42.52674824,8.075,6.449,27319
82.70270857,41.46199482,7.437,6.117,25816
83.36967401,42.10895531,6.533,6.539,26057
80.70964345,41.02926465,5.699,5.559,25143
80.06112185,41.0862068,5.603,5.472,24902
79.73077935,41.09549419,8.679,6.863,24793
80.45173447,41.80457865,5.038,5.185,25048
82.25460755,42.27051358,7.779,6.675,25674
81.9133154,43.36792124,6.765,6.754,25542
89.85365586,45.61963588,6.873,6.83,28349
89.98374012,45.93673496,6.484,4.516,28404
89.40559527,45.90132062,7.81,6.687,28208
73.08485522,36.64197862,8.235,6.935,22647
73.15825285,36.70318224,6.59,4.939,22678
73.39485095,36.80582491,8.022,6.798,22744
72.47765716,37.48827429,6.764,5.036,22453
74.61864549,37.32903373,7.118,6.768,23117
74.81420921,37.89024289,5.018,5.0,23179
75.07642452,39.39470357,6.488,6.023,23261
71.14762032,38.25498454,7.722,6.839,22055
70.69834262,38.42663151,6.972,6.691,21915
75.09673286,39.6546475,8.697,6.655,23268
75.61953354,41.07583522,5.236,3.888,23453
75.82765708,41.44164091,6.334,6.135,23511
,,2.957,3.123,23767
74.92818043,41.87319298,7.872,6.771,23213
76.7064778,43.17470168,6.73,6.259,23799
71.05425171,40.7864476,6.136,6.096,22034
70.04587539,40.78900922,7.093,6.631,21749
71.68532391,40.312582,7.18,6.093,22220
71.61217991,42.34855425,7.384,6.611,22196
69.17262533,41.26481622,5.759,4.374,21476
70.72637691,43.36513597,5.329,5.3,21928
73.19899125,42.58662572,5.818,5.69,22699
73.71350344,44.06086331,6.016,6.052,22842
,,3.644,3.069,23416
76.06745696,45.77935534,6.775,6.541,23585
76.36373114,46.91640064,7.676,6.703,23684
79.56540393,42.79210879,7.585,5.806,24738
80.00966126,44.42538528,8.232,6.634,24881
89.2693007,49.02968868,7.833,6.685,28162
84.06649734,47.71528946,6.441,6.131,26315
89.84075517,49.92453599,7.448,6.041,28343
79.112838,46.41606036,7.086,6.947,
80.16317042,46.963784,7.253,6.614,24951
81.97793185,48.2266421,8.47,6.684,25569
77.67882647,46.96207026,6.171,5.723,24109
84.73651344,49.41620856,8.092,6.963,26569
86.47516627,49.82628127,5.509,5.464,27196
87.73489402,51.51460576,7.629,6.408,27625
89.06023336,51.80398483,6.809,6.635,28086
86.37446365,52.16108362,7.608,6.926,27165
86.75018137,51.5208683,7.586,6.562,27293
89.88179951,54.28467265,5.009,3.832,28358
56.6702959,32.29018734,6.722,6.676,17631
56.07972678,32.28824964,3.912,3.906,17448
56.07972678,32.28824964,6.835,6.696,17448
58.16548527,32.40855121,7.855,6.819,18138
56.95426269,32.19541581,6.807,6.306,17732
57.38620369,33.09138818,5.202,5.141,17886
55.61514993,32.93922167,7.33,6.817,17320
56.96943163,33.59985669,6.698,6.684,17735
55.59435755,33.96502764,4.9,4.962,17313
57.97382849,34.35912416,5.722,5.765,18081
59.51309884,34.81397273,6.794,6.56,18547
59.11953951,35.08090238,5.413,5.478,18434
59.74125101,35.79103224,4.002,4.026,18614
60.31179316,36.98947696,6.392,6.388,18769
57.55526575,34.82010518,7.132,6.801,17943
53.16673675,35.46172719,5.787,5.885,16518
56.13096401,36.46010776,5.681,5.598,17460
55.28274677,37.58019206,5.452,5.531,17203
57.51447123,37.87387839,6.925,6.631,17930
56.4045428,38.67626511,7.996,6.578,17558
62.06412206,37.72749294,7.269,6.17,19302
62.15257424,38.03973424,6.129,5.572,19335
63.4987253,37.96714667,7.78,6.583,19746
59.91656213,38.82039766,6.699,6.6,18657
59.6215182,38.84024783,7.714,6.435,18565
63.72214846,40.48365426,5.901,4.797,19811
65.06013024,41.80807746,7.156,6.063,20241
65.89925153,42.42787744,6.265,6.251,20498
